lab_id,video_id,mouse1_strain,mouse1_color,mouse1_sex,mouse1_id,mouse1_age,mouse1_condition,mouse2_strain,mouse2_color,mouse2_sex,mouse2_id,mouse2_age,mouse2_condition,mouse3_strain,mouse3_color,mouse3_sex,mouse3_id,mouse3_age,mouse3_condition,mouse4_strain,mouse4_color,mouse4_sex,mouse4_id,mouse4_age,mouse4_condition,frames_per_second,video_duration_sec,pix_per_cm_approx,video_width_pix,video_height_pix,arena_width_cm,arena_height_cm,arena_shape,arena_type,body_parts_tracked,behaviors_labeled,tracking_method
JovialSwallow,24807360,C57Bl/6N,black,male,5.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,326963499,C57Bl/6N,black,male,9.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,383642292,C57Bl/6N,black,male,5.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,405720065,C57Bl/6N,black,male,6.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,420937257,C57Bl/6N,black,male,9.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,645933471,C57Bl/6N,black,male,12.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,856443471,C57Bl/6N,black,male,12.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,867736486,C57Bl/6N,black,male,9.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,922188635,C57Bl/6N,black,male,12.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,990352516,C57Bl/6N,black,male,8.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,1231275297,C57Bl/6N,black,male,4.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,1395387249,C57Bl/6N,black,male,3.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
JovialSwallow,1938183396,C57Bl/6N,black,male,5.0,17-21 weeks,,BALB/c,white,male,,8-13 weeks,,,,,,,,,,,,,,10.0,900.0,15.3,400,480,15.0,35.0,rectangular,resident-intruder,"[""ear_left"", ""ear_right"", ""hip_left"", ""hip_right"", ""neck"", ""nose"", ""tail_base""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,sniff""]",SLEAP
